"no","code","description","function","authorization"
"80","ADCS00","Asset Data Collection Service","Printer / Message Control","DOAPROCESS"
"80","ADCS00","Asset Data Collection Service","Printer / Message Control","FDOAPROCES"
"80","ADCS00","Asset Data Collection Service","Printer / Message Control","FOESUPR"
"80","ADCS00","Asset Data Collection Service","Printer / Message Control","FPROGRAMMR"
"80","ADCS00","Asset Data Collection Service","Printer / Message Control","OESUPR"
"80","ADCS00","Asset Data Collection Service","Printer / Message Control","PROGRAMMER"
"90","ADCS00","Asset Data Collection Service","Sign Off","DOAPROCESS"
"90","ADCS00","Asset Data Collection Service","Sign Off","FDOAPROCES"
"90","ADCS00","Asset Data Collection Service","Sign Off","FOESUPR"
"90","ADCS00","Asset Data Collection Service","Sign Off","FPROGRAMMR"
"90","ADCS00","Asset Data Collection Service","Sign Off","OESUPR"
"90","ADCS00","Asset Data Collection Service","Sign Off","PROGRAMMER"
"1","APM001","Accounts Payable Menu","Vendor Processing","APCLERK"
"1","APM001","Accounts Payable Menu","Vendor Processing","DATAADMIN"
"1","APM001","Accounts Payable Menu","Vendor Processing","FAPCLERK"
"1","APM001","Accounts Payable Menu","Vendor Processing","FDATAADMIN"
"1","APM001","Accounts Payable Menu","Vendor Processing","FPROGRAMMR"
"1","APM001","Accounts Payable Menu","Vendor Processing","PROGRAMMER"
"2","APM001","Accounts Payable Menu","Invoice Processing","APCLERK"
"2","APM001","Accounts Payable Menu","Invoice Processing","DATAADMIN"
"2","APM001","Accounts Payable Menu","Invoice Processing","FAPCLERK"
"2","APM001","Accounts Payable Menu","Invoice Processing","FDATAADMIN"
"2","APM001","Accounts Payable Menu","Invoice Processing","FPROGRAMMR"
"2","APM001","Accounts Payable Menu","Invoice Processing","PROGRAMMER"
"3","APM001","Accounts Payable Menu","Check Processing","APCLERK"
"3","APM001","Accounts Payable Menu","Check Processing","FAPCLERK"
"3","APM001","Accounts Payable Menu","Check Processing","FPROGRAMMR"
"3","APM001","Accounts Payable Menu","Check Processing","PROGRAMMER"
"4","APM001","Accounts Payable Menu","Month End Processing","ACCTSUPR"
"4","APM001","Accounts Payable Menu","Month End Processing","ALLUSROPT"
"4","APM001","Accounts Payable Menu","Month End Processing","APCLERK"
"4","APM001","Accounts Payable Menu","Month End Processing","CORPACCTCK"
"4","APM001","Accounts Payable Menu","Month End Processing","CORPACCTV"
"4","APM001","Accounts Payable Menu","Month End Processing","FACCTSUPR"
"4","APM001","Accounts Payable Menu","Month End Processing","FALLUSROPT"
"4","APM001","Accounts Payable Menu","Month End Processing","FAPCLERK"
"4","APM001","Accounts Payable Menu","Month End Processing","FCORPACCTC"
"4","APM001","Accounts Payable Menu","Month End Processing","FCORPACCTV"
